Symbol,Sector
GROW,Crypto
CAN,Crypto
IDEX,Crypto
QIWI,Crypto
DPW,Crypto
MARK,Crypto
SRAX,Crypto
OSTK,Crypto
TSM,Crypto
SQ,Crypto
ZNGA,Crypto
BTBT,Crypto
EBON,Crypto
MARA,Crypto
NCTY,Crypto
XNET,Crypto
INPX,Crypto
NXTD,Crypto
FTFT,Crypto
RIOT,Crypto
IZEA,Crypto
BTSC,Crypto
