,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
288,BTT-USDT,BTT-USDT,BTT,USDT,USDT,USDS,100,0.01,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,True,True
289,EOSC-USDT,EOSC-USDT,EOSC,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
290,FKX-BTC,FKX-BTC,FKX,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
291,FKX-ETH,FKX-ETH,FKX,ETH,ETH,ALTS,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
292,ENQ-BTC,ENQ-BTC,ENQ,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.000000001,0.00000001,0.1,False,True
293,ENQ-USDT,ENQ-USDT,ENQ,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
294,ONE-BTC,ONE-BTC,ONE,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
295,ONE-USDT,ONE-USDT,ONE,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,True,True
296,TOKO-BTC,TOKO-BTC,TOKO,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
297,TOKO-USDT,TOKO-USDT,TOKO,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
298,VID-BTC,VID-BTC,VID,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
